Surat Tanda Berizin/Terdaftar,Nama Platform,Website,Nama Perusahaan,Tanggal,Jenis,Badan Hukum,Syariah,Alamat
S-389/NB.213/2018,Kreditcepat,"http://kreditcepat.id",PT Alfa Finance Indonesia,6/8/2018,Terdaftar,PT,Konvensional,"Jl. Kapten P.Tendean No.34, RT.1/RW.3, Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 1279\nTelp. (021) 806 796 86"
S-584/NB.213/2018,Uangme,"http://uangme.id",PT Uangme Fintek Indonesia,7/31/2018,Terdaftar,,Konvensional,""
S-586/NB.213/2018,Pinjam Duit,"http://pinjamduit.co.id",PT Stanford Teknologi Indonesia,7/31/2018,Terdaftar,,Konvensional,""
S-587/NB.213/2018,Pinjam Yuk,"http://pinjamyuk.co.id",PT Kuai Kuai Tech Indonesia,7/31/2018,Terdaftar,,Konvensional,""
S-588/NB.213/2018,Pinjam Modal,"http://pinjammodal.id",PT Finansial Integrasi Teknologi,7/31/2018,Terdaftar,,Konvensional,""
S-589/NB.213/2018,Julo,"http://julo.co.id",PT Julo Teknologi Indonesia,7/31/2018,Terdaftar,,Konvensional,""
S-590/NB.213/2018,Easy Cash,"http://indo.geteasycash.asia",PT Indonesia Fintopia Technology,7/31/2018,Terdaftar,,Konvensional,""
S-626/NB.213/2018,Maucash,"http://maucash.id",PT Astra Welab Digital Artha,8/31/2018,Terdaftar,,Konvensional,""
S-627/NB.213/2018,RupiahOne,"http://rupiahone.co.id",PT Finlink Technology Indonesia,8/31/2018,Terdaftar,,Konvensional,""
S-628/NB.213/2018,Pohon Dana,"http://pohondana.id",PT Pohon Dana Indonesia,8/31/2018,Terdaftar,,Konvensional,""
S-688/NB.213/2018,Dana Cita,"http://danacita.co.id",PT Inclusive Finance Group,9/21/2018,Terdaftar,,Konvensional,""
S-700/NB.213/2018,DANAdidik,"http://danadidik.id",PT Pasar Dana Teknologi,9/21/2018,Terdaftar,,Konvensional,""
S-715/NB.213/2018,TrustIQ,"http://trustiq.id",PT Trust Teknologi Finansial,9/27/2018,Terdaftar,,Konvensional,""
S-960/NB.213/2018,Danai,"http://danai.id",PT Adiwisista Finansial Teknologi,10/16/2018,Terdaftar,,Konvensional,""
S-961/NB.213/2018,Pinduit,"http://pinduit.id",PT Pinduit Teknologi Indonesia,10/16/2018,Terdaftar,,Konvensional,""
S-962/NB.213/2018,Pinjam,"http://smartcapital.id",PT Pinjam Meminjam Global,10/16/2018,Terdaftar,,Konvensional,""
S-1059/NB.213/2018,Danamart,"http://danamart.id",PT Dana Aguna Nusantara,11/28/2018,Terdaftar,,Konvensional,""
S-1060/NB.213/2018,SAMAKITA,"http://samakita.co.id",PT Sejahtera Sama Kita,11/28/2018,Terdaftar,,Konvensional,""
S-1061/NB.213/2018,Saya Modalin,"http://sayamodalin.co.id",PT Minitech Finance Indonesia,11/28/2018,Terdaftar,,Konvensional,""
S-1073/NB.213/2018,PLAZA PINJAMAN,"http://plazapinjaman.id",PT Nusantara Digital Techno,12/7/2018,Terdaftar,,Konvensional,""
S-1074/NB.213/2018,Vestia P2P Lending Platform,"http://web.vestia.co.id",PT Tujuh Mandiri Sejahtera,12/7/2018,Terdaftar,,Konvensional,""
S-1075/NB.213/2018,Singa,"http://singa.id",PT Abadi Sejahtera Investindo,12/7/2018,Terdaftar,,Konvensional,""
S-1108/NB.213/2018,AdaKami,"http://adakami.id",PT Pembiayaan Digital Indonesia,12/21/2018,Terdaftar,,Konvensional,""
S-1109/NB.213/2018,ModalUsaha,"http://modalusaha.id",PT Indo Fintek Digital,12/21/2018,Terdaftar,,Konvensional,""
S-1110/NB.213/2018,Asetku,"http://asetku.co.id",PT Pintar Inovasi Digital,12/21/2018,Terdaftar,,Konvensional,""
S-1111/NB.213/2018,Danafix,"http://danafix.id",PT Danafix Online Indonesia,12/21/2018,Terdaftar,,Konvensional,""
S-1112/NB.213/2018,Lumbung Dana,"http://lumbungdana.co.id",PT Lumbung Dana Indonesia,12/21/2018,Terdaftar,,Konvensional,""
S-1113/NB.213/2018,lahansikam,"http://lahansikam.co.id",PT Lampung Berkah Finansial Teknologi,12/21/2018,Terdaftar,,Konvensional,""
S-1114/NB.213/2018,Modal Nasional,"www.modalnasional.co.id",PT Solusi Teknologi Finansial,12/21/2018,Terdaftar,,Konvensional,""
S-1115/NB.213/2018,Dana Bagus,"www.danabagus.id",PT Dana Bagus Indonesia,12/21/2018,Terdaftar,,Konvensional,""
S-1116/NB.213/2018,ShopeeKredit,"www.lenteradana.co.id",PT Lentera Dana Nusantara,12/21/2018,Terdaftar,,Konvensional,""
S-1117/NB.213/2018,ikredo online,"www.ikredo.id",PT Investdana Fintek Nusantara,12/21/2018,Terdaftar,,Konvensional,""
S-57/NB.213/2019,AdaKita,"www.adakita.co.id",PT Unikas Indonesia Pasifik,2/1/2019,Terdaftar,,Konvensional,""
S-58/NB.213/2019,UKU,"www.ukuindo.com",PT Teknologi Merlin Sejahtera,2/1/2019,Terdaftar,,Konvensional,""
S-59/NB.213/2019,Pinjamwinwin,"www.pinjamwinwin.com",PT Progo Puncak Group,2/1/2019,Terdaftar,PT,Konvensional,"Jl. Progo No.9, Darmo, Wonokromo, Kota Surabaya, Jawa Timur 60241, \nTelp. (031) 567 76 24"
S-60/NB.213/2019,Pasarpinjam,"www.pasarpinjam.co.id",PT Digital Bertahan Indonesia,2/1/2019,Terdaftar,,Konvensional,""
S-61/NB.213/2019,Kredinesia,"www.kredinesia.id",PT Kreditku Teknologi Indonesia,2/1/2019,Terdaftar,,Konvensional,""
S-62/NB.213/2019,BKDana,"www.bkdana.id",PT Berkah Kelola Dana,2/1/2019,Terdaftar,,Konvensional,""
S-63/NB.213/2019,GandengTangan.org,"www.gandengtangan.co.id",PT Kreasi Anak Indonesia,2/1/2019,Terdaftar,,Konvensional,""
S-64/NB.213/2019,Modalantara,"www.modalantara.id",PT Anantara Digital Indonesia,2/1/2019,Terdaftar,,Konvensional,""
S-65/NB.213/2019,Komunal,"www.komunal.co.id",PT Komunal Finansial Indonesia,2/1/2019,Terdaftar,,Konvensional,""
S-66/NB.213/2019,ProsperiTree,"www.prosperitree.co.id",PT Newline Fintech Indonesia,2/1/2019,Terdaftar,,Konvensional,""
S-67/NB.213/2019,Danakoo,"www.danakoo.id",PT Danakoo Mitra Artha,2/1/2019,Terdaftar,,Konvensional,""
